"CODIGO","DESIGNACAO","SIGLA_UC","CURSO"
"MEA314","Ambiente e Desenvolvimento(Palestras Temáticas)","ADPT",1100
"EEC3172","Microprocessadores","MP",255
"EEC3171","Sistemas Eléctricos de Energia I","SEE1",255
"CPGEA310","Recuperação e Reutilização de Produtos Resíduais","RRPR",1200
"CPGEA313","Gestão e Deposição de Resíduos Sólidos e Perigosos","GDRSP",1200
"CPGEA411","Limpeza e Regeneração de Solos","LRS",1200
"CPGEA108","Geologia e Ambiente","GA",1200
"MEA312","Geotécnica Ambiental","GEOTA",1100
"MEA108","Geologia e Ambiente","GA",1100
"CPGEA210","Complementos de Matemática","CMAT",1200
"CPGEA312","Geotécnia Ambiental","GEOTA",1200
"CPGEA311","Estudos de Casos","EC",1200
"MEA210","Complementos de Matemática","CMAT",1100
"MEA311","Estudo de Casos","EC",1100
"MTM116","Semiótica do Hipertexto e Flexibilidade Cognitiva","SHFC",1600
"MTM115","Imagem em Educação","IE",1600
"MTM114","Estatística e Metodologia de Investigação em Educação","EMIE",1600
"EC5276","Estruturas Especiais","EE",233
"EMM220","Desenho Técnico","DT",315
"EMM122","Computação e Programação II","CP2",315
"CPGEE2080","Controlo Adaptativo","CA",1300
"CPGEE2079","Conjuntos Imprecisos","CI",1300
"CPGEE2001","Arquitectura de Computadores  e Programação Paralela","ACPP",1300
"CPGEE2037","Aplicações de Processamento Digital de Imagem","APDI",1300
"CPGEE2016","Algoritmos Numéricos e Processamento Paralelo","ANPP",1300
"CPGEE1069","Tópicos Avançados de Sistemas Lineares","TASL",1300
"CPGEE1041","Tópicos Avançados de Controlo Optimo","TACO",1300
"CPGEE1031","Teoria da Informação","TI",1300
"CPGEE1020","Técnicas das Altas Tensões","TAT",1300
"CPGEE1013","Técnicas Avançadas de Processamento de Imagem","TAPI",1300
"CPGEE1018","Sistemas Robóticos","SR",1300
"MCI0008","Análise de Conteúdo e Indexação","ACI",3011
"CPGEE2036","Sistemas Distribuidos","SDIST",1300
"CPGEE1012","Sistemas de Informação e Bases de Dados","SIBD",1300
"CPGEE1039","Representação do Conhecimento","RC",1300
"CPGEE1024","Protecção e Supervisão para Controlo de Sistemas de Energia","PSCEE",1300
"CPGEE1067","Programação Matemática","PM",1300
"CPGEE2042","Paradigmas de Programação","PP",1300
"CPGEE1042","Novos Métodos de Investigação Operacional","NMIO",1300
"CPGEE1035","Interligação e Gestão de Redes","IGR",1300
"CPGEE1034","Inteligência Artificial Distribuida","IAD",1300
"CPGEE1022","Fiabilidade e Controlo de Qualidade","FCQ",1300
"CPGEE1032","Especificação Formal e Simulação","EFS",1300
"CPGEE1044","Conversão Estática de Energia","CEE",1300
"CPGEE1026","Comunicações Opticas","CO",1300
"CPGEE1008","Computação Gráfica","CG",1300
"CPGEE1070","Complementos de Análise de Sistemas Eléctricos","CASE",1300
"CPGEE2056","Codificação Digital de Audio e Video","CDAV",1300
"CPGEE1001","Arquitecturas e Aplicações de Processamento de Sinal","AAPS",1300
"CPGGI1201","Gestão e Organização da Informação na Internet","GOII",2015
"CPGGI1104","Sistemas de Informação","SI",2015
"CPGGI1102","Gestão de Informação","GI",2015
"CPGGI1101","Fundamentos de Gestão","FG",2015
"EC334","Topografia","TOP",233
"CPGEE2010","Televisão Digital e Novos Serviços","TDNS",1300
"CPGEE2009","Técnicas de Transmissão de Digital","TTD",1300
"CPGEE2017","Sistemas Neuronais com Aplicações em Engenharia","SNAE",1300
"CPGEE2084","Sistemas Discretos","SD",1300
"CPGEE2008","Sistemas de Tempo Real","STR",1300
"CPGEE2048","Robótica Móvel","RM",1300
"CPGEE2045","Robótica Inteligente","RI",1300
"CPGEE2007","Redes de Banda Larga","RBL",1300
"CPGEE2006","Rede Digital de Acesso","RDA",1300
"CPGEE2054","Qualidade de Serviço em Sistemas Eléctricos","QSSE",1300
"CPGEE2075","Projecto de Sistemas em Tecnologia Microelectrónica","PSTM",1300
"CPGEE2005","Projecto de Sistemas de Manufactura","PSM",1300
"CPGEE2015","Processamento Computacional da Fala","PCF",1300
"CPGEE2052","Planeamento e Gestão de Sistemas de Energia","PGSE",1300
"CPGEE2051","Monotorização e Análise de Segurança em Sistemas Eléctricos de Energia","MASSEE",1300
"CPGEE2050","Metodologias de Ajuda à Decisão","MAD",1300
"CPGEE1010","Gestão da Inovação e Tecnologia","GIT",1300
"CPGEE2039","Engenharia de Software","ES",1300
"CPGEE2081","Controlo Multivariável","CM",1300
"CPGEE2034","Controlo Hierárquico e Descentralizado","CHD",1300
"CPGEA315","Proteção Costeira","PC",1200
"MEA315","Protecção Costeira","PC",1100
"EM134","Economia","ECO",304
"EM231","Desenho de Construções Mecânicas","C.AUT",304
"CPGES305","Lages e Cascas","LC",1400
"CPGES104","Técnicas Informáticas de Análise Rstrutural","TIAE",1400
"CPGES310","Modelos de Comportamento de Estruturas de Betão","MCEB",1400
"MPPAU2214","Métodos e Modelos de Apoio à Decisão e Planeamento","MMADP",1000
"EC233","Mineralogia e Geologia Gerais","MINGG",233
"EC139","Física I (Mecânica)","F1(M)",233
"EC642","Elasticidade e Plasticidade Aplicadas","EPA",233
"EC641","Estruturas Especiais","EE",233
"EC232","Mecânica I","MEC1",233
"EC231","Física III (Electromagnetismo)","F3(E)",233
"EC230","Métodos Estatísticos","ME",233
"EC228","Física II (Termodinâmica)","F2(T)",233
"CPGGI1106","Sistemas Multimédia","SM",2015
"CPGGI1105","Computadores e Redes de Comunicação","CRC",2015
"CPGGI1205","Inovação e Tecnologia","IT",2015
"CPGGI1203","Sistemas de Apoio à Decisão","SAD",2015
"CPGGI1202","Produtos e Serviços de Informação","PSI",2015
"CPGGI1103","Métodologias de Investigação Aplicadas à Gestão de Informação","MIAGI",2015
"GEI117","Programação de Computadores II","PC2",433
"GEI116","Desenho Industrial I","DI1",433
"GEI114","Programação de Computadores I","PC1",433
"GEI212","Desenho Industrial II","DI2",433
"EM232","Controlo Automático","C.AUT",304
"EMI224","Caracterização de Materiais","CM",318
"EMI223","Microbiologia","MBIO",318
"EMI222","Resistência de Materiais e Estabilidade","RME",318
"EMI221","Quimica Ambiental","QAMB",318
"EMI120","Desenho Técnico","DT",318
"EC5279","Dinâmica de Obras Maritimas","DOM",233
"EC5167","Hidráulica Fluvial","HF",233
"EC5165","Tecnologia de Construção com Madeira","TCM",233
"EC5164","Hidráulica Computacional","HC",233
"EMG2205","Caracterização de Materiais","CM",649
"EEC100","Análise Matemática I","AM1",255
"CPGCE100","Acústica de Edifícios","AE",1800
"MPPAU2213","Seminário/Projecto","S/P2",1000
"MPPAU1110","Seminário/Projecto","S/P1",1000
"MPPAU1109","Transportes e Tráfego","TT",1000
"EC226","Estatística","EST",233
"MCE115","Projectos e Comportamento de Estruturas de Edifícios","PCEE",200
"MEB207","Biomateriais","BIOM",1500
"MEB206","Materiais - Física, Química e Tecnologia","MFQT",1500
"MEB205","Biomecânica","BMEC",1500
"MEB203","Instrumentação Biomédica","IBIO",1500
"MEB202","Informática Médica e Telemedicina","IMTM",1500
"MEB201","Engenharia Clínica e Segurança Hospitalar","ECSH",1500
"MEB200","Aquisição e Processamento de Sinais e Imagens","APSI",1500
"MEEC2014","Tópicos de Algebra Linear Numérica","TALN",400
"MEEC2013","Sistemas Integrados de Fabrico","SIF",400
"MEEC2015","Processamento Computacional da Fala","PCF",400
"MEEC2012","Gestão de Operações e Logistica","GOL",400
"MEEC1043","Utilização de Máquinas Eléctricas","UME",400
"EMM322","Ligas Ferrosas","LF",315
"EMM321","Materiais Poliméricos","MPOL",315
"EMM320","Propriedades e Ensaios dos Materiais","PEM",315
"EMM219","Materialografia","MATE",315
"EMM218","Diagramas de Equilibrio","DEQ",315
"EMM217","Electroquímica e Interfaces","EQUIMI",315
"EMM216","Mecânica dos Sólidos","MSOLID",315
"EMM215","Química Física","QF",315
"EMM120","Introdução aos Cerâmicos e Polímeros","ICPOL",315
"EMM119","Física Geral II","FG2",315
"EMM117","Introdução aos Materiais Metálicos","IMM",315
"EMM116","Física Geral I","FG1",315
"EMM115","Quimica Geral I","QGI",315
"CPGTM112","Ensino Aberto e à Distância","EAD",2000
"CPGTM109","A Imagem e o Signo","IS",2000
"CPGTM108","Fotografia, Cinema e Vídeo","FCV",2000
"CPGTM107","Sistemas Gráficos Interactivos","SGI",2000
"CPGTM105","Paradigmas de Programação e Bases de Dados","PPBD",2000
"CPGTM103","Introdução nos Sistemas Multimédia/Laboratório Multimédia","ISMLM",2000
"CPGTM102","Arte e Comunicação","AC",2000
"CPGTM101","Educação Multimédia","EM",2000
"CPGTM100","Tecnologias da Comunicação Multimédia","TCM",2000
"MEST107","Geomecânica","GEOM",500
"MTM112","Ensino Aberto e à Distância","EAD",1600
"EM332","Electromagnetismo","EMAG",304
"MEA410","Estação de Tratamento","ET",1100
"EMT108","Matemática","MAT",312
"CPGEE2049","Infraestruturas em Edifícios Inteligentes","IEI",1300
"CPGEE2013","Sistemas Integrados de Fabrico","SIF",1300
"CPGEE2074","Informatização Industrial","II",1300
"CPGEE1004","Redes Locais Industriais","RLI",1300
"EM624","Projecto de Máquinas","PM",304
"EM623","Seminário de Aplicações Informáticas","SAI",304
"EM622","Transportes de Fluidos","TF",304
"EM618","Métodos Experimentais em Fluidos e Calor","MEFC",304
"EM617","Projecto de Instalações","PI",304
"EM614","Produção Assistida por Computador","PAC",304
"EM613","Laboratório de Automação","LAUT",304
"EM612","Robótica","ROB",304
"EM610","Complementos de Controlo Automático","CCA",304
"EM609","Comando Numérico Computorizado","COMNC",304
"EM608","Computação Industrial","CIIND",304
"EM446","Anteprojecto de Máquinas","AM",304
"EM445","Tecnologia de Accionamentos Industriais II","TAI2",304
"EM443","Tecnologia de Accionamentos Industriais I","TAI1",304
"EM336","Desenho Assistido por Computador","DAC",304
"EM335","Sistemas Lógicos","SLOG",304
"EM230","Tecnologia da Maquinagem","TMAQ",304
"EM229","Electricidade","ELEC",304
"EM228","Termodinâmica I","TERM.1",304
"EM132","Tecnologia da Conformação Plástica","TCP",304
"EMM528","Projecto","PROJ",315
"EMM527","Estágio","EST",315
"EMM526","Instrumentação e Controlo","IC",315
"EMM431","Tratamentos de Resíduos e Efluentes","TRE",315
"EMM429","Processos de Corte","PCOR",315
"EMM428","Produção e Recuperação de Materiais I","PRM1",315
"EEC1202","Física dos Estados da Matéria","FEM",255
"EEC1201","Análise Matemática II","AM2",255
"EEC1104","Programação","PRG",255
"EEC1102","Análise Matemática I","AM1",255
"EEC1101","Algebra","ALG",255
"MEEC2017","Sistemas Neuronais com Aplicações em Engenharia","SNAE",400
"MEEC1044","Conversão Estática de Energia","CEE",400
"EEC561","Projecto de Produção e Transporte","PPT",255
"EM133","Tecnologia da Fundição","TF",304
"EC640","Geotecnia em Obras Hidráulicas","GOH",233
"EC639","Dinâmica de Estruturas","DE",233
"EC638","Acústica Ambiental e de Edifícios","AAE",233
"EC637","Planeamento Regional","PREG",233
"EC635","Economia das Empresas de Construção","EEC",233
"EC634","Humidades e Patologias da Construção","HPC",233
"EC633","Organização da Construção e Obras Públicas","OCOP",233
"EC621","Térmica de Edifícios","TE",233
"EC444","Gestão de Obras","GO",233
"EC333","Tecnologia das Construções","TC",233
"EC137","Desenho de Construção","DCONS",233
"EC136","Geometria Descritiva","GD",233
"EM630","Simulação de Processos Tecnológicos","SPT",304
"EM628","Complementos de Tecnologia da Conformação Plástica","CTCP",304
"EM627","Projecto de Fim de Curso","PFC",304
"EM626","Laboratório de Lubrificação e Vibrações","LLV",304
"EM625","Projecto de Máquinas","PM",304
"EEC5040","Projecto, Seminário ou Trabalho Final do Curso (A)","SEM",255
"EEC4243","Sistemas Baseados em Microprocessadores","SBM",255
"EEC4242","Planeamento e Controlo da Produção","PCP",255
"EEC4241","Controlo de Potência I","CP1",255
"EEC4144","Sistemas de Informação Fabril","SIF",255
"EEC4143","Instrumentação Electrónica","IE",255
"EEC4141","Controlo I","C1",255
"EEC4101","Investigação Operacional","IO",255
"EEC3244","Telecomunicações I (A)","TELE1",255
"EEC3243","Instalações Eléctricas (A)","IE",255
"EEC3242","Electrónica II (A)","E2",255
"EEC3241","Automação Industrial (A)","AI",255
"EEC3142","Máquinas Eléctricas I (A)","ME1",255
"EEC3122","Máquinas Eléctricas I (E)","ME1",255
"EEC3161","Máquinas Eléctricas I (T)","ME1",255
"EEC3141","Electrónica I (A)","E1",255
"EEC3121","Electrónica I (E)","E1",255
"EEC3103","Teoria dos Sistemas","TS",255
"EEC3102","Instrumentação e Medidas","IM",255
"EEC3101","Electrotecnia Teórica","ET",255
"EEC2205","Sistemas Eléctricos de Energia I","SEE1",255
"EEC2204","Microprocessadores","MP",255
"EEC2203","Ondas","OND",255
"EEC2202","Circuitos e Sistemas","CS",255
"EEC2105","Teoria do Sinal","TSIN",255
"EEC2104","Microprocessadores","MP",255
"EEC2103","Electromagnetismo","EMAG",255
"EEC2102","Análise Numérica","AN",255
"EEC2101","Análise Matemática III","AM3",255
"EEC1205","Teoria dos Circuitos","TC",255
"EEC1204","Sistemas Digitais","SD",255
"EEC1203","Introdução à Mecânica Clássica","IMC",255
"MGI1103","Metodologias de Investigação Aplicadas à Gestão de Informação","MIAGI",2005
"MGI1102","Gestão de Informação","GI",2005
"MGI1101","Fundamentos de Gestão","FG",2005
"EEC5161","Sistemas de Informação","SINF",255
"EEC4263","Sistemas de Telecomunicações I","ST1",255
"EEC4262","Radiação e Propagação","RP",255
"EEC4261","Comunicação de Dados e Redes de Computadores I","CDRC1",255
"EEC4164","Telecomunicações II","TELE2",255
"EEC4163","Sistemas Operativos","SO",255
"EEC4162","Processamento Digital de Sinal","PDS",255
"EEC4161","Electrónica III","E3",255
"EEC3264","Telecomunicações I (T)","TELE1",255
"EEC3263","Instalações Eléctricas (T)","IE",255
"EEC3262","Electrónica II (T)","E2",255
"EEC3261","Automação Industrial (T)","AI",255
"EEC5221","Concepção de Instalações Eléctricas II","CIE2",255
"EEC5020","Projecto, Seminário ou Trabalho Final do Curso (E)","SEM",255
"EEC4222","Sistemas Eléctricos de Energia III","SEE3",255
"EEC4221","Distribuição de Energia I","DE1",255
"EEC4123","Sistemas Eléctricos de Energia II","SEE2",255
"EEC4122","Produção e Transporte de Energia I","PTE1",255
"EEC4121","Máquinas Eléctricas III","ME3",255
"EEC3225","Máquinas Eléctricas II (E)","ME2",255
"EEC3224","Telecomunicações I (E)","TELE1",255
"EEC3223","Instalações Eléctricas (E)","IE",255
"EEC3222","Electrónica II (E)","E2",255
"EEC3221","Automação Industrial (E)","AI",255
"EEC5141","Qualidade","QUAL",255
"EMG1202","Geologia II","GEOL2",649
"EMG1201","Análise Matemática II","AM2",649
"EIC4104","Contabilidade","CONT",275
"EIC4103","Sistemas Períciais e Robótica","SPR",275
"EIC4102","Informática Industrial","II",275
"EIC4101","Redes de Comunicação de Dados","RCD",275
"EIC4100","Engenharia de Software","ES",275
"EMG1105","Desenho Geológico e Topográfico","DGT",649
"EMG1104","Quimica Geral I","QG",649
"EMG1103","Geologia I","GEOL1",649
"EMG1102","Análise Matemática I","AM1",649
"EMM327","Ciência dos Materiais II","CMAT2",315
"EMM326","Ensaios dos Materiais","EMAT",315
"EMM325","Ciência dos Materiais I","CMAT1",315
"MMI1204","Laboratórios de Manutenção","LMAN",2010
"MMI1203","Gestão de Energia Térmica","GET",2010
"MMI1202","Engenharia da Manutenção","EM",2010
"MMI1201","Gestão Global da Manutenção","GGM",2010
"MMI1104","Sistemas Electromecânicos","SE",2010
"MMI1103","Vibrações e Tribologia","VT",2010
"MMI1102","Engenharia das Superfícies","ES",2010
"MMI1101","Métodos Quantitativos de Gestão","MQG",2010
"MGI1206","Informação e Sociedade","IS",2005
"MGI1204","Armazenamento e Recuperação de Informação","ARI",2005
"MGI1202","Produtos e Serviços de Informação","PSI",2005
"MGI1106","Sistemas Multimédia","SM",2005
"MGI1105","Computadores e Redes de Comunicação","CRC",2005
"MGI1104","Sistemas de Informação","SI",2005
"EC3212","Planeamento do Território I","PTI",233
"EC3210","Tecnologia das Construções","TC",233
"EC3208","Teoria das Estruturas 2","TE2",233
"EC3105","Investigação Operacional","IO",233
"EC3103","Hidráulica Geral 1","HG1",233
"EC3102","Teoria das Estruturas 1","TE1",233
"EC2212","Sociologia","SOC",233
"EC2211","Topografia","TOP",233
"EC2210","Mecânica dos Fluídos","MF",233
"EC2209","Estatística","EST",233
"EC2207","Física 2","FIS2",233
"EC2106","Arquitectura","ARQ",233
"EC2105","Mecânica dos Sólidos","MSOLID",233
"EC2104","Mecânica 2","MEC2",233
"EC2102","Resistência de Materiais 1","RM1",233
"EC2101","Física 1","FIS1",233
"EC1212","Economia","ECON",233
"EC1210","Desenho Assistido por Computador","DAC",233
"EC1208","Desenho de Construção","DC",233
"EC1106","Geologia","GEOL",233
"EC1105","Ciência dos Materiais","CMAT",233
"EC1104","Programação e Computadores","PC",233
"EC1103","Álgebra","ALG",233
"EC1102","Geometria Descritiva","GD",233
"EC1101","Análise Matemática 1","AM1",233
"MEST310","Modelos de Comportamento de Estruturas de Betão","MCEB",500
"EMG1205","Desenho Técnico","DT",649
"EMG1204","Computadores e Programação","CP",649
"EMG1203","Quimica Geral II","QGII",649
"EC5223","Obras de Terra","OT",233
"EC5222","Mecânica das Rochas","MECR",233
"EC5221","Fundações e Estruturas de Suporte 2","FESII",233
"EC5120","Seminário de Geotecnia 1","SG1",233
"EC5119","Modelos e Segurança em Geotecnia","MSG",233
"EC5118","Geotecnia Aplicada a Obras Hidráulicas","GAOH",233
"EC5216","Seminário de Estruturas 2","SE2",233
"EC5214","Fundações","FUND",233
"EC5213","Estruturas Metálicas e Mistas","EMM",233
"EC5112","Seminário de Estruturas 1","SE1",233
"EC5111","Métodos Numéricos de Análise Estrutural","MNAE",233
"EC5110","Estruturas Pré-Esforçadas","EPE",233
"EC5109","Dinâmica de Estruturas","DE",233
"EC5208","Seminário de Construções 2","SC2",233
"EC5207","Qualidade na Construção","QC",233
"EC5206","Economia das Empresas de Construção","EEC",233
"EC5104","Seminário de Construções 1","SC1",233
"EC5103","Instalação de Edifícios","IE",233
"EC5101","Térmica de Edifícios","TE",233
"EC4212","Análise de Impacte Ambiental","AIA",233
"EC4211","Gestão de Obras","GO",233
"EC4210","Vias de Comunicação 2","VC2",233
"EC4209","Hidráulica Aplicada 2","HA2",233
"EC4208","Estruturas de Betão 2","EB2",233
"EC4207","Mecânica dos Solos 2","MS2",233
"EC4106","Planeamento do Território II","PTII",233
"EC4105","Gestão de Projectos","GP",233
"EC4104","Vias de Comunicação 1","VC1",233
"EC4103","Hidráulica Aplicada 1","HA1",233
"EC4102","Estruturas de Betão 1","EB1",233
"EC4101","Mecânica dos Solos 1","MS1",233
"EC5161","Gestão e Recursos Hidricos","GRH",233
"EC5266","Gestão de Tráfego Rodoviário","GTR",233
"EC5153","Habitação e Equipamento Urbano","HEU",233
"EC5151","Concepção e Execução de Estruturas de Edifícios","CEEES1",233
"EC5149","Aplicação de Geossintéticos em Engenharia Civil","AGEC",233
"EC5247","Pavimentos 2","PAV2",233
"EC5245","Circulação e Transportes 2","CT2",233
"EQ224","Termodinâmica Química I","TQI",331
"EC597","Aplicação de Geossintéticos em Engenharia Civil","AGEC",233
"EC595","Construções Metálicas","CM",233
"EC434","Mecânica dos Solos","MSOL",233
"EM595","Projecto de Fim de Curso","PFC",304
"EM224","Análise Matemática IV","AM4",304
"EM223","Análise Matemática III","AM3",304
"EM128","Algebra Linear e Geometria Analítica II","ALGA2",304
"EM127","Análise Matemática II","AM2",304
"EM126","Algebra Linear e Geometria Analítica I","ALGA1",304
"EM125","Análise Matemática I","AM1",304
"CPGES204","Melhoramento e Reforço de Solos","MRS",1400
"CPGES102","Mecânica dos Meios Contínuos","MMC",1400
"CPGES303","Estruturas Subterrâneas","ES",1400
"CPGES205","Estruturas de Suporte de Terras","EST",1400
"CPGES103","Dinâmica de Estruturas","DE",1400
"CPGES304","Aplicações de Geossintéticos em Engenharia Civil","AGEC",1400
"CPGES201","Análise não Linear de Estruturas","ANLE",1400
"MEM151","Análise de Avarias em Estruturas","AAE",100
"MEM149","Laboratório de Manutenção Condicionada","LMC",100
"MEM148","Análise de Avarias de Superfícies","AAS",100
"MEM147","Gestão da Energia","GENER",100
"MEM146","Vibrações Mecânicas","VM",100
"MEM145","Lubrificação de Máquinas","LMAQ",100
"MEM144","Desgaste de Materiais","DMAT",100
"MEM143","Organização e Gestão da Manutenção","OGM",100
"MEST308","Estruturas de Edifícios e Contraventamento","EEC",500
"MEEC2010","Televisão Digital e Novos Serviços","TDNS",400
"MEST307","Reabilitação de Estruturas e Fundações","REF",500
"MEEC2009","Técnicas de Transmissão Digital","TTD",400
"MEEC2007","Redes de Banda Larga","RBL",400
"MEEC2006","Rede Digital de Acesso","RDA",400
"MEEC2004","Multimédia e Hipermédia","MH",400
"MEEC1035","Interligação e Gestão de Redes","IGR",400
"MEEC1039","Representação do Conhecimento","RC",400
"MEEC1033","Exploração de Redes Eléctricas","ERE",400
"MEEC1011","Análise de Sistemas Electromecânicos","ASEM",400
"EC441","Hidráulica Aplicada 2","HIDA2",233
"EC440","Estruturas de Betão 2","EB2",233
"EC439","Mecânica dos Solos 2","MS2",233
"EC438","Vias de Comunicação 1","VC1",233
"EC437","Hidráulica Aplicada 1","HIDA1",233
"EC436","Estruturas de Betão 1","EB1",233
"EC435","Mecânica dos Solos 1","MS1",233
"EC331","Construções Civis 2","CC2",233
"EC330","Hidráulica Geral 2","HIDG2",233
"EC329","Teoria das Estruturas 2","TE2",233
"EC327","Construções Civis 1","CC1",233
"EC326","Hidráulica Geral 1","HIDG1",233
"EC325","Teoria das Estruturas 1","TE1",233
"EC324","Materiais de Construção 1","MC1",233
"EC225","Resistência de Materiais 2","RM2",233
"EC224","Física 2","FIS2",233
"EC223","Análise Matemática 3","AM3",233
"EC222","Resistência de Materiais 1","RM1",233
"EC221","Física 1","FIS1",233
"EC135","Geometria e Desenho 2","GM2",233
"EC134","Análise Matemática 2","AM2",233
"EC133","Geometria e Desenho 1","GM1",233
"EC132","Análise Matemática 1","AM1",233
"MEST309","Método dos Elementos Discretos","MED",500
"CPGES308","Estruturas de Edifícios e de Contraventamento","MED",1400
"CPGES206","Lages e Cascas","LC",1400
"CPGES106","Métodos Probabilisticos e Experimentais em Dinâmica Estrutural","IEST",1400
"MPPAU2212","Sistemas de Informação Geografica","SIG",1000
"MPPAU1108","Grandes Projectos Urbanos","GPU",1000
"CPGES105","Optimização de Estruturas","OPTE",1400
"CPGES101","Métodos dos Elementos Finitos","MEF",1400
"EC627","Controle de Ruído e Vibrações","CRV",233
"EC626","Seminário de Comunicações 2","SCOM2",233
"EC625","Pavimentos 2","PAV2",233
"EC624","Circulação e Transportes 2","CT2",233
"EC623","Seminário de Comunicações 1","SCOM1",233
"EC622","Pavimentos 1","PAV1",233
"EC620","Circulação e Transportes 1","CT1",233
"EC619","Seminário de Planeamento 2","SP2",233
"EC618","Planeamento de Transportes 2","PT2",233
"EC617","Planeamento Regional 2","PR2",233
"EC616","Planeamento Urbano 2","PU2",233
"EC615","Seminário de Planeamento 1","SP1",233
"EC614","Planeamento de Transportes 1","PT1",233
"EC613","Planeamento Regional 1","PR1",233
"EC612","Planeamento Urbano 1","PU1",233
"EC611","Seminário de Hidráulica 2","SH2",233
"EC610","Projecto e Gestão de Infra-Estruturas de Saneamento Básico 2","PGISB2",233
"EC609","Aproveitamentos Hidráulicos 2","AH2",233
"EMG2204","Electricidade e Electromagnetismo","EE",649
"EMG2203","Dinâmica de Sistemas","DS",649
"EMG2202","Microbiologia","MICB",649
"EMG2201","Petrologia","PET",649
"EMG2106","Mecânica Vectorial","MV",649
"EMG2105","Resistência de Materiais e Estabilidade","RME",649
"EMG2104","Quimica Ambiental","QAMB",649
"EMG2103","Métodos Estatísticos","MEST",649
"EMG2102","Mineralogia","MIN",649
"EMG2001","Inglês Técnico II(anual)","IT2",649
"EIC5201","Estágio","ESTAG",275
"EIC5200","Projecto","PROJ",275
"EIC5106","Sistemas Multimédia","SM",275
"EIC5105","Sentidos Artificiais","SA",275
"EIC5102","Seminários","SEM",275
"EIC5101","Sistemas de Apoio a Decisão","SAD",275
"EIC5104","Planeamento e Gestão da Produção","PGP",275
"EIC5103","Logística","LOG",275
"MMCCE1202","Computação Paralela","CP",2025
"MMCCE1201","Métodos Computacionais na Análise de Estruturas","MCAE",2025
"MMCCE1102","Técnicas Estatísticas","TE",2025
"EEC4291","Introdução à Microelectrónica","IMIC",255
"EEC4289","Teoria da Informação","TI",255
"EEC4284","Sistemas Gráficos","SG",255
"EEC4277","Inteligência Artificial","IA",255
"EEC4280","Reconhecimento de Padrões","RECP",255
"EEC4278","Processamento e Análise de Imagem","PAI",255
"EEC4273","Comunicações Opticas","COMO",255
"EEC4271","Arquitecturas de Computadores","AC",255
"MMCCE1100","Análise Matemática Aplicada","AMA",2025
"EEC4247","Sistemas Concorrentes","SCON",255
"EEC4246","Sistemas Flexiveis de Fabrico","SFF",255
"EEC4244","Complementos de Investigação Operacional","CIO",255
